id,date,content,username,retweet_counter,favorite_count,reply_count,user_followers_count,country
1356681136655769605,2021-02-02 19:09:23+00:00,Farmers feed the world. Fight for them. Protect them #FarmersProtest,vanessa_vash,18735,67957,1299,207747,Planet Earth 🌍 
1356677400545816577,2021-02-02 18:54:32+00:00,"Farmers will win! ✊🏻

#FarmersProtest #Rihanna",LicypriyaK,7828,29806,647,128883,"New Delhi, India"
1356674345930788870,2021-02-02 18:42:24+00:00,"Tweet with #FarmersProtest 
Support the Farmers in India now",vanessa_vash,11854,37891,1279,207747,Planet Earth 🌍 
1356673683218169857,2021-02-02 18:39:46+00:00,"No Farmers=No Food
#FarmersProtest #Farmers @LicypriyaK",vanessa_vash,6163,20447,289,207747,Planet Earth 🌍 
1356671450791436290,2021-02-02 18:30:54+00:00,Don't bite the hand that feeds you. Protect the FARMERS #FarmersProtest @LicypriyaK,vanessa_vash,7037,22267,336,207747,Planet Earth 🌍 
1356670242769010695,2021-02-02 18:26:06+00:00,"Protect the FARMERS
#FarmersProtest @LicypriyaK",vanessa_vash,4103,13075,171,207747,Planet Earth 🌍 
1356668712372342786,2021-02-02 18:20:01+00:00,Let us talk about what is happening in India right now #FarmersProtest @LicypriyaK,vanessa_vash,10963,37129,902,207747,Planet Earth 🌍 
1356646881967792129,2021-02-02 16:53:16+00:00,Singer @rihanna  extends support to #farmersprotest in #India; questions #internetban https://t.co/XB3UpexKwQ,thetribunechd,4813,15343,370,116115,Chandigarh
1356625889602199552,2021-02-02 15:29:51+00:00,why aren’t we talking about this?! #FarmersProtest https://t.co/obmIlXhK9S,rihanna,315404,943913,163028,102620047,
1356563402752028672,2021-02-02 11:21:33+00:00,The whole world is watching 🇮🇳 #FarmersProtest,boxervijender,5653,29636,368,3918227,India
1356506749528772609,2021-02-02 07:36:26+00:00,"#VerifiedEXCLUSIVE   🔊 ON

👉Internet ban FAILS, #FarmersProtest INTENSIFIES in Haryana

👉Young Farmers respond to 'Tirange ka Apman' charge

👉2000 farmers from Rohtak-Sampla run 75 KMs to bring 2000 flags to Gazipur

👉Full 41 minute UNCUT report LINK-
https://t.co/QWyXKggp77 https://t.co/Va5aW6tyi7",saahilmenghani,3669,8807,221,86797,India
1356167968497889284,2021-02-01 09:10:14+00:00,#FarmersProtest | Massive crowds gather at farmers' 'mahapanchayat' in UP’s Bijnor https://t.co/xI4TGGyPNY,ndtv,4481,15906,240,14923299,India
1355338012654243842,2021-01-30 02:12:17+00:00,"Shocked to see mobs and police trying to intimidate and clear Delhi #FarmersProtest, after stopping their water, electricity and internet.

Violence can’t be condoned, but if people in power abuse peaceful protesters, it’ll merely make their movement stronger.
#TheWorldIsWatching https://t.co/F6ibfaElSl",TanDhesi,9057,20235,1016,81806,
1354088807424028673,2021-01-26 15:28:24+00:00,"#WATCH | Delhi: Protestors attacked Police at Red Fort, earlier today. #FarmersProtest https://t.co/LRut8z5KSC",ANI,12504,26722,3000,5301119,India
1354032115642363904,2021-01-26 11:43:07+00:00,"If you don't allow them you are undemocratic.

If they go violent your intelligence failed. 

If you don't control them you are useless.

If you control them you are barbaric.
#FarmersProtest
#FarmersProstests https://t.co/9LQBqSgNXZ",arunbothra,4952,14435,426,140958,"Bhubaneswar, Odisha "
1353994911800909826,2021-01-26 09:15:17+00:00,"यह कथन बिलकुल असत्य है ।
उत्तर प्रदेश के किसी जनपद में किसानो के ऊपर ना तो लाठीचार्ज हुआ है और ना ही आँसू गैस का प्रयोग किया गया है । 
हमारे अधिकारियों का सभी किसान बंधुओं/ संगठनो से लगातार संवाद क़ायम है और स्थिति पूर्णतः सामान्य एवं शांतिपूर्ण है।

#FarmersProtest #RepublicDay https://t.co/VomdaYmW56",Uppolice,4824,14713,961,1514975,DGP HQs LUCKNOW
1349656137017171968,2021-01-14 09:54:33+00:00,"सुप्रीम कोर्ट की बनाई कमिटी से भूपेंदर सिंह मान ने इस्तीफ़ा दिया, खबर है कि उन्हें और उनके परिवार को कनाडा से धमकी भरे फोन कॉल आये हैं, जिसके बाद उन्होंने ये फैसला किया l    
 #FarmersProtest",AshokShrivasta6,3661,13023,215,140318,New Delhi
1346638849116573697,2021-01-06 02:04:55+00:00,"Who is behind #FarmersProtest?

1. ISI
2. Congress
3. China
4. Khalistani
5. Jehadi
6. Misguided Bollywoodiyas
7. Dalal
8. Commies
9. AAP

10. All of the above - also known as #UrbanNaxals",vivekagnihotri,4717,22526,2084,556501,Himalayas
1336172006249623553,2020-12-08 04:53:25+00:00,"#आज_भारत_बंद_है
#FarmersProtest https://t.co/vVkKxKk4fi",diljitdosanjh,11731,116690,3285,5132016,PUNJAB 
1335889461981270021,2020-12-07 10:10:42+00:00,"लखनऊ- 8 दिसंबर को जबरन दुकान बंद करवाने वालों के खिलाफ यूपी पुलिस सख्त एक्शन लेगी.

#FarmersProtest",DChaurasia2312,3787,33092,861,901822,"New Delhi, Delhi"
1333017490654253056,2020-11-29 11:58:30+00:00,"#FarmersProtest | ""The government is saying that they have introduced the new farm laws to eliminate the middlemen. We are asking them to define 'middlemen'"": Farmers address the media https://t.co/bDfaRauVTm",ndtv,7009,27546,1031,14923299,India
1332288959020318720,2020-11-27 11:43:35+00:00,#FarmersProtest | Amrik Sukhdev Dhaba in Haryana's Murthal serves free food to farmers https://t.co/wUP2qVPhUV,ndtv,3969,26053,470,14923299,India
1331835400894046211,2020-11-26 05:41:18+00:00,"किसानों से समर्थन मूल्य छीनने वाले कानून के विरोध में किसान की आवाज सुनने की बजाय भाजपा सरकार उन पर भारी ठंड में पानी की बौछार मारती है।

किसानों से सबकुछ छीना जा रहा है और पूंजीपतियों को थाल में सजा कर बैंक, कर्जमाफी, एयरपोर्ट रेलवे स्टेशन बांटे जा रहे हैं। 

#FarmersProtest https://t.co/al8dG8ZZhi",priyankagandhi,5482,22541,1281,3340963,"New Delhi, India"
1309341816492142592,2020-09-25 03:59:50+00:00,मैं देश के किसान के साथ हूँ। और आप ? #FarmerFirst #FarmersProtest,abhisar_sharma,6402,27067,0,1227230,New Delhi
