date,user,location,text
2021-03-05 14:27:53,ArmyMahoura,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/JBmnTQMAN0"
2021-03-05 14:27:40,ArmyMahoura,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/bz3zkCDAb8"
2021-03-05 14:27:29,ArmyMahoura,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/RZqiK3nOrW"
2021-03-05 14:27:15,ArmyMahoura,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/L6NamGCGnM"
2021-03-05 14:26:59,ArmyMahoura,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/3NCTxrzTLq"
2021-03-05 14:25:18,bts_not_R,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/Gh5hmgVhnc"
2021-03-05 14:21:39,panicutegirl7,,"Hello army and Big Hit, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial… https://t.co/0E30FCFqjC"
2021-03-05 14:19:14,panicutegirl7,,"@bts_bighit Hello army and Big Hit, we are the Iranian army. Please help us report a personal page called mehradhid… https://t.co/iaUPEqxigI"
2021-03-05 14:16:52,pariwton,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/bZ8rPAXiTM"
2021-03-05 14:15:07,bTSsmyreligion,,I am tired of people making racist jOkEs to asians AND even made homophobic jOkEs. This is fcking sick and disgusti… https://t.co/gt3hB5fDNt
2021-03-05 14:14:28,panicutegirl7,,"@Army__area Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial… https://t.co/FR8X33SE9r"
2021-03-05 14:13:48,panicutegirl7,,"@Army__area Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial… https://t.co/EmuMYgoe5H"
